,SFR0,SFR1,SFR2,SFR3,SFR4,SFR5,SFR6,SFR7,SFR8,SFR9,SFR10,SFR11,SFR12,SFR13,SFR14,SFR15,SFR16,SFR17,SFR18,SFR19,SFR20,SFR21,SFR22,SFR23,SFR24,SFR25,SFR26,SFR27,SFR28,SFR29,SFR30,SFR31,SFR32,SFR33,SFR34,SFR35,SFR36,SFR37,SFR38,SFR39,SFR40,SFR41,SFR42,SFR43,SFR44,SFR45,SFR46,SFR47,SFR48,SFR49,SFR50,SFR51,SFR52,SFR53,SFR54,SFR55,SFR56,SFR57,SFR58,SFR59,SFR60,SFR61,SFR62,SFR63,SFR64,SFR65,SFR66,SFR67,SFR68,SFR69,SFR70,SFR71,SFR72,SFR73,SFR74,SFR75,SFR76,SFR77,SFR78,SFR79,SFR80,SFR81,SFR82,SFR83,SFR84,SFR85,SFR86,SFR87,SFR88,SFR89,SFR90,SFR91,SFR92,SFR93,SFR94,SFR95,SFR96,SFR97,SFR98,SFR99,SFR100,SFR101,SFR102,SFR103,SFR104,SFR105,SFR106,SFR107,SFR108,SFR109,SFR110,SFR111,SFR112,SFR113,SFR114,SFR115,SFR116,SFR117,SFR118,SFR119,SFA0,SFA1,SFA2,SFA3,SFA4,SFA5,SFA6,SFA7,SFA8,SFA9,SFA10,SFA11,SFA12,SFA13,SFA14,SFA15,SFA16,SFA17,SFA18,SFA19,SFA20,SFA21,SFA22,SFA23,SFA24,SFA25,SFA26,SFA27,SFA28,SFA29,SFA30,SFA31,SFA32,SFA33,SFA34,SFA35,SFA36,SFA37,SFA38,SFA39,SFA40,SFA41,SFA42,SFA43,SFA44,SFA45,SFA46,SFA47,SFA48,SFA49,SFA50,SFA51,SFA52,SFA53,SFA54,SFA55,SFA56,SFA57,SFA58,SFA59,SFA60,SFA61,SFA62,SFA63,SFA64,SFA65,SFA66,SFA67,SFA68,SFA69,SFA70,SFA71,SFA72,SFA73,SFA74,SFA75,SFA76,SFA77,SFA78,SFA79,SFA80,SFA81,SFA82,SFA83,SFA84,SFA85,SFA86,SFA87,SFA88,SFA89,SFA90,SFA91,SFA92,SFA93,SFA94,SFA95,SFA96,SFA97,SFA98,SFA99,SFA100,SFA101,SFA102,SFA103,SFA104,SFA105,SFA106,SFA107,SFA108,SFA109,SFA110,SFA111,SFA112,SFA113,SFA114,SFA115,SFA116,SFA117,SFA118,SFA119,SFA120,SFA121,SFA122,SFA123,SFA124,SFA125,SFA126,SFA127,SFA128,SFA129,SFA130,SFA131,SFA132,SFA133,SFA134,SFA135,SFA136,SFA137,SFA138,SFA139,SFA140,SFA141,SFA142,SFA143,SFA144,SFA145,SFA146,SFA147,SFA148,SFA149,SFA150,SFA151,SFA152,SFA153,SFA154,SFA155,SFA156,SFA157,SFA158,SFA159,SFA160,SFA161,SFA162,SFA163,SFA164,SFA165,SFA166,SFA167,SFA168,SFA169,SFA170,SFA171,SFA172,SFA173,SFA174,SFA175,SFA176,SFA177,SFA178,SFA179,SFA180,SFA181,SFA182,SFA183,SFA184,SFA185,SFA186,SFA187,SFA188,SFA189,SFA190,SFA191,SFA192,SFA193,SFA194,SFA195,SFA196,SFA197,SFA198,SFA199,SFA200,SFA201,SFA202,SFA203,SFA204,SFA205,SFA206,SFA207,SFA208,SFA209,SFA210,SFA211,SFA212,SFA213,SFA214,SFA215,SFA216,SFA217,SFA218,SFA219,SFA220,SFA221,SFA222,SFA223,SFA224,SFA225,SFA226,SFA227,SFA228,SFA229,SFA230,SFA231,SFA232,SFA233,SFA234,SFA235,SFA236,SFA237,SFA238,SFA239,SFA240,SFA241,SFA242,SFA243,SFA244,SFA245,SFA246,SFA247,SFA248,SFA249,SFA250,SFA251,SFA252,SFA253,SFA254,SFA255,SFA256,SFA257,SFA258,SFA259,SFA260,SFA261,SFA262,SFA263,SFA264,SFA265,SFA266,SFA267,SFA268,SFA269,SFA270,SFA271,SFA272,SFA273,SFA274,SFA275,SFA276,SFA277,SFA278,SFA279,SFA280,SFA281,SFA282,SFA283,SFA284,SFA285,SFA286,SFA287,SFA288,SFA289,SFA290,SFA291,SFA292,SFA293,SFA294,SFA295,SFA296,SFA297,SFA298,SFA299,C1CCNC1,C1=CCNC1,CCl,C1CCC1,[N-]=[NH2+],C1CO1,C1=CCCCC1,C1=COCO1,N=[NH2+],C1CCNCC1,CN,C1CNC1,C1=CCOC1,C,C1CN1,C1CCCC1,C#C,C1CCCNCC1,N,CBr,C=C,C1CCOC1,C=O,C1CCOCC1,CF,C1CCCCC1,C1=COCCO1,CO,C1CC1,CC,C1=CC=CC=C1,C1=CCCC1
0,0,18,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,0,0,2,1,0,0,0,0,0,0,0,0,0,3,5,5,3,3,1,2,0,0,0,0,1,0,0,2,1,2,0,4,2,4,4,2,0,1,0,1,0,1,1,2,1,2,1,7,3,3,2,0,0,0,0,0,1,4,2,8,5,1,2,0,0,0,0,0,0,0,1,8,10,4,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,0,0,1,0,0,0,0,0,0,0,0,0,3,3,8,0,2,5,1,0,0,0,0,0,1,0,5,0,0,1,3,1,1,3,1,3,3,1,0,0,1,5,0,2,3,5,4,2,1,0,1,0,0,0,0,0,7,13,2,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,2,0,0,0,0,0,0,0,0,0,0,0,12,6,2,2,0,0,0,1,0,0,0,0,0,0,0,5,6,4,7,0,0,0,1,0,0,0,0,0,0,0,8,9,5,1,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,5,0,0
1,2,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,3,0,0,2,1,0,0,0,0,0,0,0,0,0,4,5,6,3,3,0,3,0,0,0,0,1,0,0,1,3,2,0,4,4,2,5,1,0,2,0,1,0,1,3,1,1,2,2,8,3,1,3,0,0,0,0,0,4,2,4,6,7,2,0,0,0,0,0,0,0,0,2,8,12,3,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,9,0,0,1,0,0,0,0,0,0,0,0,0,1,5,8,1,3,4,2,0,0,0,0,0,1,0,4,2,0,1,3,2,1,2,1,2,3,3,0,0,1,6,1,3,1,7,4,1,1,0,1,0,0,0,0,0,9,13,2,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,1,2,0,0,0,0,0,0,0,0,0,0,0,12,8,2,2,0,0,0,1,0,0,0,0,0,0,0,6,6,3,8,1,0,0,1,0,0,0,0,0,0,0,10,9,5,1,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0
2,0,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,0,0,2,1,0,0,0,0,0,0,0,0,2,0,4,6,3,2,1,2,0,0,0,0,1,0,1,1,0,2,0,4,2,3,5,1,1,0,0,1,0,1,0,2,1,1,2,6,4,3,1,0,0,0,0,0,1,1,2,8,6,3,0,0,0,0,0,0,0,0,1,6,11,3,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,5,2,0,1,0,0,0,0,0,0,0,0,2,0,3,7,0,2,5,1,0,0,0,0,0,0,1,4,0,0,1,3,1,1,3,0,2,2,3,0,0,1,4,0,2,2,6,3,2,1,0,1,0,0,0,0,0,5,11,4,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,2,0,0,0,0,0,0,0,0,0,0,0,12,4,2,2,0,0,0,0,1,0,0,0,0,0,0,5,5,3,7,0,0,0,1,0,0,0,0,0,0,0,7,7,6,1,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0
3,3,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,7,0,1,2,1,0,0,0,0,0,0,0,0,0,0,9,6,5,4,0,4,0,0,0,0,1,0,0,0,0,5,1,5,4,3,6,2,1,0,1,1,0,0,0,8,0,1,3,5,4,4,1,3,0,0,0,0,1,6,5,3,6,5,2,0,1,0,0,0,0,0,2,10,7,8,2,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,12,2,0,1,0,0,0,0,0,0,0,0,0,0,5,8,4,3,3,3,2,0,0,0,0,0,1,2,0,3,4,2,1,4,4,1,0,2,4,1,0,1,8,0,3,3,3,5,2,2,1,0,2,0,0,0,0,10,13,2,3,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,1,2,0,0,0,0,0,0,0,0,0,0,0,11,10,4,3,0,0,0,0,1,0,0,0,0,0,0,5,9,6,5,3,0,0,1,0,0,0,0,0,0,0,13,7,6,3,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0
4,2,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,4,0,1,2,0,0,0,0,0,0,0,0,1,3,2,5,4,5,2,2,0,0,0,0,1,0,0,1,3,2,1,4,1,3,2,3,3,1,0,0,1,0,2,0,4,1,2,5,3,2,2,3,1,0,0,0,0,2,1,4,9,5,4,0,0,0,0,0,0,0,0,0,6,15,4,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,12,7,0,1,0,0,0,0,0,0,0,0,0,3,2,4,6,0,4,4,1,0,0,0,0,0,1,0,6,1,1,3,1,1,1,1,3,4,1,0,0,1,1,6,1,3,4,3,2,4,0,1,1,0,0,0,0,0,7,14,3,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,2,1,0,0,0,0,0,0,0,0,0,0,0,14,6,2,2,0,0,0,1,0,0,0,0,0,0,0,9,5,3,6,0,1,0,1,0,0,0,0,0,0,0,11,6,7,1,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,6,0,0
5,4,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,3,0,2,1,0,0,0,0,0,0,0,0,0,6,3,7,2,5,2,2,0,0,0,0,1,0,0,1,5,4,0,3,1,4,2,3,3,1,0,0,1,1,4,2,2,1,2,4,3,3,2,4,0,0,0,0,4,1,1,5,8,4,4,1,0,0,0,0,0,0,0,5,3,14,6,0,0,0,0,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,14,7,0,1,0,0,0,0,0,0,0,0,0,3,5,4,6,0,4,4,1,0,0,0,0,0,1,0,9,1,1,3,1,0,2,1,3,4,1,0,0,1,1,9,1,3,4,3,2,4,0,1,1,0,0,0,0,0,9,15,3,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,2,1,0,0,0,0,0,0,0,0,0,0,0,17,6,2,2,0,0,0,1,0,0,0,0,0,0,0,12,5,3,6,0,1,0,1,0,0,0,0,0,0,0,14,6,7,1,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,7,0,0
6,2,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,3,0,1,2,1,0,0,0,0,0,0,0,0,0,4,7,5,3,1,3,2,0,0,0,0,1,0,0,0,1,6,1,2,6,2,4,1,1,1,0,1,0,0,1,2,3,3,2,6,2,3,3,0,1,0,0,0,0,3,3,6,7,6,1,0,0,0,0,0,0,0,0,3,13,10,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,6,1,0,1,0,0,0,0,0,0,0,0,0,0,9,6,3,2,2,2,1,0,0,0,0,1,0,2,3,2,2,4,1,1,3,1,4,0,1,0,1,1,4,2,3,3,6,1,2,4,0,0,0,1,0,0,0,6,10,8,2,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1,2,0,0,0,0,0,0,0,0,0,0,0,13,7,3,2,0,0,0,0,1,0,0,0,0,0,0,8,6,6,3,2,0,0,1,0,0,0,0,0,0,0,11,7,7,0,1,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,0,0
7,2,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,4,0,0,2,1,0,0,0,0,0,0,0,0,0,4,5,8,2,3,1,2,0,0,0,0,1,0,0,3,1,3,1,3,3,3,5,2,0,1,0,1,0,3,1,3,1,2,0,7,4,3,2,0,0,0,0,3,1,4,2,8,5,1,2,0,0,0,0,0,0,0,5,5,12,4,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,8,1,0,1,0,0,0,0,0,0,0,0,0,4,3,9,1,2,5,1,0,0,0,0,0,1,0,7,0,1,0,4,1,1,2,2,3,3,1,0,0,1,8,0,2,3,5,4,2,1,0,1,0,0,0,0,0,10,12,3,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1,2,0,0,0,0,0,0,0,0,0,0,0,13,8,2,2,0,0,0,1,0,0,0,0,0,0,0,8,6,4,7,0,0,0,1,0,0,0,0,0,0,0,11,9,5,1,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,0,0
8,3,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,9,0,1,2,1,0,0,0,0,0,0,0,0,0,0,8,9,5,6,1,3,0,0,0,0,1,0,0,0,0,5,1,7,7,4,4,3,0,1,0,1,0,0,0,8,1,4,4,6,3,5,2,0,0,0,0,0,3,8,3,8,7,2,2,0,0,0,0,0,0,0,6,9,9,9,0,0,0,0,0,0,0,0,0,0,0,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,14,1,0,1,0,0,0,0,0,0,0,0,0,0,5,11,5,5,5,1,0,0,0,0,0,1,0,2,2,2,5,6,3,2,1,1,5,2,1,0,0,1,9,6,2,2,6,4,2,0,1,1,0,0,0,0,0,17,12,3,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,1,2,0,0,0,0,0,0,0,0,0,0,0,13,14,2,3,0,0,0,1,0,0,0,0,0,0,0,6,15,3,8,0,0,0,1,0,0,0,0,0,0,0,18,9,5,1,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,1,0
9,2,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,1,2,1,0,0,0,0,0,0,0,0,2,0,5,6,5,6,2,4,0,0,0,0,1,0,0,2,0,5,0,6,1,4,3,4,4,0,1,0,1,0,1,1,8,0,2,2,6,4,2,2,3,0,0,0,0,2,6,3,8,4,4,3,0,1,0,0,0,0,0,2,7,11,10,1,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13,14,0,1,0,0,0,0,0,0,0,0,0,2,0,6,7,4,4,4,3,0,0,0,0,0,1,0,4,3,0,5,2,3,2,2,1,3,3,0,1,1,1,10,0,3,3,6,1,4,1,0,3,0,0,0,0,0,10,14,5,1,0,1,0,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,2,1,0,0,0,0,0,0,0,0,0,0,0,14,10,3,3,0,0,0,1,0,0,0,0,0,0,0,8,8,6,5,2,1,0,1,0,0,0,0,0,0,0,15,7,7,1,1,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,6,1,0
