,SFR4,SFR22,SFR23,SFR33,SFR34,SFR36,SFR39,SFR48,SFR50,SFR53,SFR55,SFR58,SFR61,SFR63,SFR67,SFR72,SFR74,SFR77,SFR79,SFR81,SFR82,SFR92,SFA30,SFA33,SFA40,SFA41,SFA42,SFA50,SFA53,SFA57,SFA59,SFA62,SFA65,SFA66,SFA67,SFA69,SFA71,SFA76,SFA80,SFA81,SFA91,SFA184,SFA195,SFA202,SFA203,SFA213,SFA217,SFA227,SFA228,CBr,N=[NH2+],C1CNC1,C,C1=CC=CC=C1,C1CCCC1,C1CC1
0,0,2,1,0,10,5,1,1,3,3,0,1,1,5,4,0,1,4,4,3,2,11,0,10,0,0,0,1,1,0,0,2,3,2,5,1,0,3,4,3,9,0,9,0,1,5,0,7,0,0,0,0,2,1,0,0
1,0,0,0,5,4,2,1,4,7,0,1,2,0,6,3,1,0,4,5,5,1,10,2,13,0,0,0,3,2,0,0,3,3,1,1,0,0,5,0,0,7,0,9,0,0,0,0,2,0,0,0,0,2,1,0,1
2,0,1,0,6,4,6,1,6,4,3,3,3,0,5,2,2,2,3,8,6,2,8,1,3,0,0,0,4,0,0,0,2,3,4,1,1,1,3,1,2,8,0,12,0,0,3,0,2,1,1,0,0,3,1,0,0
3,0,3,2,0,8,3,5,1,4,3,3,1,0,2,5,3,0,2,6,8,4,12,0,12,2,0,0,3,3,1,0,3,3,0,5,2,0,6,2,0,8,2,12,0,0,0,0,3,2,0,0,0,2,1,0,1
4,1,0,0,0,2,2,0,0,5,3,3,2,0,1,4,0,0,5,2,5,0,8,0,1,0,1,1,3,3,2,0,0,0,3,2,0,0,7,1,0,3,2,5,0,0,7,0,1,0,0,0,0,1,1,0,0
5,0,0,2,0,0,6,6,0,4,2,3,2,0,0,3,1,1,2,7,2,3,6,0,12,1,1,0,4,2,1,1,3,3,5,3,1,1,6,3,2,8,2,7,0,0,4,0,2,1,0,0,1,1,1,0,0
6,0,1,3,0,4,3,1,0,1,4,2,2,0,4,2,0,0,6,1,7,1,7,0,12,0,0,0,4,1,2,0,1,1,1,4,1,1,7,3,1,5,1,9,0,0,2,0,1,0,0,0,0,3,1,0,0
7,0,2,2,0,9,0,5,0,6,0,0,3,0,6,2,3,0,3,6,4,3,17,0,13,0,0,0,1,5,0,0,4,1,1,2,1,1,2,2,3,12,0,14,0,0,7,0,6,1,0,0,0,4,0,0,0
8,0,0,5,0,1,4,2,1,2,4,1,3,0,2,1,1,0,5,2,4,1,6,0,7,0,0,0,5,4,2,0,1,2,0,2,2,1,9,3,0,4,1,7,0,0,2,0,1,0,0,0,0,3,1,0,0
9,0,0,1,0,2,3,2,0,4,3,1,2,0,1,4,1,1,4,2,5,5,12,1,4,0,0,0,3,0,0,0,4,4,1,0,2,3,4,1,1,7,0,9,0,0,3,0,2,1,0,0,0,3,0,0,0
